Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,25.875000,26.531250,25.875000,26.500000,15.069044,150300
1998-12-23,26.796875,28.796875,26.687500,27.140625,15.433340,44000
1998-12-24,27.140625,27.140625,27.000000,27.093750,15.406676,45500
1998-12-28,27.140625,27.156250,26.812500,26.937500,15.317832,25400
1998-12-29,26.953125,27.562500,25.984375,27.531250,15.655463,123500
1998-12-30,27.531250,27.609375,27.312500,27.359375,15.557733,10200
1998-12-31,27.296875,27.421875,27.078125,27.156250,15.442221,66300
1999-01-04,27.375000,27.593750,26.734375,26.937500,15.317832,50000
1999-01-05,27.093750,27.281250,27.015625,27.140625,15.433340,27900
1999-01-06,27.328125,27.484375,27.156250,27.468750,15.619926,118500
1999-01-07,27.265625,27.265625,26.953125,27.156250,15.442221,43500
1999-01-08,27.156250,27.171875,26.625000,27.046875,15.380026,63800
1999-01-11,26.984375,26.984375,26.328125,26.500000,15.069044,65400
1999-01-12,26.484375,26.578125,26.250000,26.296875,14.953548,29400
1999-01-13,25.546875,26.484375,25.546875,26.343750,14.980199,73800
1999-01-14,26.234375,26.328125,25.484375,25.843750,14.695879,30800
1999-01-15,26.062500,26.218750,25.828125,26.125000,14.855814,39000
1999-01-19,26.328125,26.328125,25.656250,25.828125,14.686987,39200
1999-01-20,25.984375,26.187500,25.781250,25.906250,14.731422,480500
1999-01-21,25.796875,25.937500,25.359375,25.515625,14.509293,42500
1999-01-22,25.359375,25.671875,25.218750,25.390625,14.438209,75700
1999-01-25,25.390625,25.484375,25.109375,25.328125,14.402662,179000
1999-01-26,25.343750,25.921875,25.296875,25.921875,14.740300,85000
1999-01-27,26.171875,26.421875,26.093750,26.265625,14.935779,50400
1999-01-28,26.296875,26.796875,26.265625,26.734375,15.202327,57300
1999-01-29,26.812500,26.984375,26.437500,26.796875,15.237866,167800
1999-02-01,26.984375,27.078125,26.671875,26.687500,15.175662,57200
1999-02-02,26.781250,26.906250,26.531250,26.906250,15.300056,81800
1999-02-03,26.781250,26.906250,26.546875,26.812500,15.246748,65300
1999-02-04,26.703125,26.906250,26.562500,26.687500,15.175662,34400
1999-02-05,26.687500,26.687500,26.250000,26.281250,14.944663,33000
1999-02-08,26.218750,26.375000,26.015625,26.234375,14.918007,83500
1999-02-09,26.171875,26.171875,25.718750,25.765625,14.651453,44500
1999-02-10,25.890625,25.953125,25.625000,25.953125,14.758074,32000
1999-02-11,26.046875,26.406250,25.968750,26.390625,15.006848,22400
1999-02-12,26.437500,26.515625,25.984375,26.171875,14.882462,29600
1999-02-16,26.500000,26.671875,26.406250,26.484375,15.060167,37700
1999-02-17,26.468750,26.718750,26.031250,26.218750,14.909124,26800
1999-02-18,26.312500,26.578125,26.265625,26.500000,15.069044,29400
1999-02-19,26.453125,26.625000,26.343750,26.390625,15.006848,30300
1999-02-22,26.500000,27.125000,26.421875,26.953125,15.326717,183700
1999-02-23,26.984375,27.156250,26.781250,26.906250,15.300056,35400
1999-02-24,27.093750,27.265625,26.593750,26.750000,15.211204,69000
1999-02-25,26.484375,26.625000,26.078125,26.437500,15.033508,28100
1999-02-26,26.375000,26.593750,26.218750,26.515625,15.077931,15100
1999-03-01,26.421875,26.515625,26.156250,26.390625,15.006848,17500
1999-03-02,26.531250,26.703125,26.265625,26.312500,14.962424,29700
1999-03-03,26.421875,26.421875,26.046875,26.312500,14.962424,32000
1999-03-04,26.359375,26.718750,26.218750,26.671875,15.166793,85300
1999-03-05,26.687500,27.234375,26.687500,27.078125,15.397793,49100
1999-03-08,27.140625,27.203125,26.828125,27.203125,15.468876,30700
1999-03-09,27.234375,27.390625,27.000000,27.234375,15.486655,23300
1999-03-10,27.125000,27.125000,26.843750,26.937500,15.317832,32600
1999-03-11,27.140625,27.390625,27.015625,27.203125,15.468876,55700
1999-03-12,27.453125,27.578125,27.250000,27.437500,15.602154,48100
1999-03-15,27.593750,27.875000,27.500000,27.671875,15.735427,246400
1999-03-16,27.718750,27.953125,27.703125,27.796875,15.806507,63700
1999-03-17,27.781250,27.781250,27.312500,27.328125,15.539956,40900
1999-03-18,27.218750,27.796875,27.218750,27.796875,15.806507,22300
1999-03-19,27.921875,27.921875,27.406250,27.625000,15.736523,174200
1999-03-22,27.484375,27.625000,27.281250,27.609375,15.727613,93400
1999-03-23,27.296875,27.484375,26.515625,26.828125,15.282580,91600
1999-03-24,26.593750,26.859375,26.500000,26.812500,15.273673,46700
1999-03-25,27.062500,27.187500,26.765625,27.015625,15.389384,46000
1999-03-26,26.765625,26.984375,26.703125,26.921875,15.335981,20400
